sys,arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem_size,mem_type,mem_clock,num_cpus,PS,runtime,bus_speed
lab00801,IntelCorei53470_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,1,25000,9219.52,1024
lab00801,IntelCorei53470_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,2,25000,8304.6,1024
lab00801,IntelCorei53470_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,3,25000,6921.6,1024
lab00801,IntelCorei53470_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,25000,8165.16,1024
lab00801,IntelCorei53470_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,5,25000,7341.16,1024
lab00801,IntelCorei53470_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,6,25000,7071.84,1024
lab00801,IntelCorei53470_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,7,25000,6956.48,1024
lab00801,IntelCorei53470_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,8,25000,12007.44,1024
lab102,IntelCorei53470_DDR31600_4GB,3.4,X86_64,16,64,1,32,16,64,1,256,48,64,4,6144,4,DDR3,1600,1,25000,9219.52,1024
lab102,IntelCorei53470_DDR31600_4GB,3.4,X86_64,16,64,1,32,16,64,1,256,48,64,4,6144,4,DDR3,1600,2,25000,8304.6,1024
lab102,IntelCorei53470_DDR31600_4GB,3.4,X86_64,16,64,1,32,16,64,1,256,48,64,4,6144,4,DDR3,1600,3,25000,6921.6,1024
lab102,IntelCorei53470_DDR31600_4GB,3.4,X86_64,16,64,1,32,16,64,1,256,48,64,4,6144,4,DDR3,1600,4,25000,8165.16,1024
lab102,IntelCorei53470_DDR31600_4GB,3.4,X86_64,16,64,1,32,16,64,1,256,48,64,4,6144,4,DDR3,1600,5,25000,7341.16,1024
lab102,IntelCorei53470_DDR31600_4GB,3.4,X86_64,16,64,1,32,16,64,1,256,48,64,4,6144,4,DDR3,1600,6,25000,7071.84,1024
lab102,IntelCorei53470_DDR31600_4GB,3.4,X86_64,16,64,1,32,16,64,1,256,48,64,4,6144,4,DDR3,1600,7,25000,6956.48,1024
lab102,IntelCorei53470_DDR31600_4GB,3.4,X86_64,16,64,1,32,16,64,1,256,48,64,4,6144,4,DDR3,1600,8,25000,12007.44,1024
akm_laptop,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,1,25000,9219.52,4096
akm_laptop,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,2,25000,8304.6,4096
akm_laptop,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,3,25000,6921.6,4096
akm_laptop,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,4,25000,8165.16,4096
akm_laptop,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,5,25000,7341.16,4096
akm_laptop,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,6,25000,7071.84,4096
akm_laptop,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,7,25000,6956.48,4096
akm_laptop,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,8,25000,12007.44,4096
ceptraining_student,IntelCore2Duo_DDR2667_2GB,1.6,X86_64,8,64,1,32,2,64,1,512,0,0,0,0,2,DDR2,667,1,30000,10279.4,2048
ceptraining_student,IntelCore2Duo_DDR2667_2GB,1.6,X86_64,8,64,1,32,2,64,1,512,0,0,0,0,2,DDR2,667,2,30000,9566,2048
ceptraining_student,IntelCore2Duo_DDR2667_2GB,1.6,X86_64,8,64,1,32,2,64,1,512,0,0,0,0,2,DDR2,667,3,30000,9817.96,2048
ceptraining_student,IntelCore2Duo_DDR2667_2GB,1.6,X86_64,8,64,1,32,2,64,1,512,0,0,0,0,2,DDR2,667,4,30000,9801.76,2048
ceptraining_student,IntelCore2Duo_DDR2667_2GB,1.6,X86_64,8,64,1,32,2,64,1,512,0,0,0,0,2,DDR2,667,5,30000,8584.4,2048
ceptraining_student,IntelCore2Duo_DDR2667_2GB,1.6,X86_64,8,64,1,32,2,64,1,512,0,0,0,0,2,DDR2,667,6,30000,8324.96,2048
ceptraining_student,IntelCore2Duo_DDR2667_2GB,1.6,X86_64,8,64,1,32,2,64,1,512,0,0,0,0,2,DDR2,667,7,30000,8302.04,2048
ceptraining_student,IntelCore2Duo_DDR2667_2GB,1.6,X86_64,8,64,1,32,2,64,1,512,0,0,0,0,2,DDR2,667,8,30000,8551.56,2048
ceptraining_instructor,IntelCorei54460_DDR31600_4GB,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,1,30000,10279.4,2048
ceptraining_instructor,IntelCorei54460_DDR31600_4GB,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,2,30000,9566,2048
ceptraining_instructor,IntelCorei54460_DDR31600_4GB,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,3,30000,9817.96,2048
ceptraining_instructor,IntelCorei54460_DDR31600_4GB,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,4,30000,9801.76,2048
ceptraining_instructor,IntelCorei54460_DDR31600_4GB,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,5,30000,8584.4,2048
ceptraining_instructor,IntelCorei54460_DDR31600_4GB,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,6,30000,8324.96,2048
ceptraining_instructor,IntelCorei54460_DDR31600_4GB,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,7,30000,8302.04,2048
ceptraining_instructor,IntelCorei54460_DDR31600_4GB,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,8,30000,8551.56,2048
akm_laptop,IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,1,30000,10279.4,4096
akm_laptop,IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,2,30000,9566,4096
akm_laptop,IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,3,30000,9817.96,4096
akm_laptop,IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,30000,9801.76,4096
akm_laptop,IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,5,30000,8584.4,4096
akm_laptop,IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,6,30000,8324.96,4096
akm_laptop,IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,7,30000,8302.04,4096
akm_laptop,IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,8,30000,8551.56,4096
hpcserver1010071130,IntelXeonE52620_DDR41866_16GB,2.4,X86_64,8,64,1,32,8,64,1,256,8,64,12,15360,16,DDR4,1866,1,30000,16667.32,32768
hpcserver1010071130,IntelXeonE52620_DDR41866_16GB,2.4,X86_64,8,64,1,32,8,64,1,256,8,64,12,15360,16,DDR4,1866,2,30000,13237.08,32768
hpcserver1010071130,IntelXeonE52620_DDR41866_16GB,2.4,X86_64,8,64,1,32,8,64,1,256,8,64,12,15360,16,DDR4,1866,3,30000,12854.2,32768
hpcserver1010071130,IntelXeonE52620_DDR41866_16GB,2.4,X86_64,8,64,1,32,8,64,1,256,8,64,12,15360,16,DDR4,1866,4,30000,11938.4,32768
hpcserver1010071130,IntelXeonE52620_DDR41866_16GB,2.4,X86_64,8,64,1,32,8,64,1,256,8,64,12,15360,16,DDR4,1866,5,30000,11377.12,32768
hpcserver1010071130,IntelXeonE52620_DDR41866_16GB,2.4,X86_64,8,64,1,32,8,64,1,256,8,64,12,15360,16,DDR4,1866,6,30000,10500.2,32768
hpcserver1010071130,IntelXeonE52620_DDR41866_16GB,2.4,X86_64,8,64,1,32,8,64,1,256,8,64,12,15360,16,DDR4,1866,7,30000,10326.64,32768
hpcserver1010071130,IntelXeonE52620_DDR41866_16GB,2.4,X86_64,8,64,1,32,8,64,1,256,8,64,12,15360,16,DDR4,1866,8,30000,10421.08,32768
lab007068,IntelCorei56500_DDR42133_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR4,2133,1,30000,10279.4,4096
lab007068,IntelCorei56500_DDR42133_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR4,2133,2,30000,9566,4096
lab007068,IntelCorei56500_DDR42133_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR4,2133,3,30000,9817.96,4096
lab007068,IntelCorei56500_DDR42133_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR4,2133,4,30000,9801.76,4096
lab007068,IntelCorei56500_DDR42133_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR4,2133,5,30000,8584.4,4096
lab007068,IntelCorei56500_DDR42133_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR4,2133,6,30000,8324.96,4096
lab007068,IntelCorei56500_DDR42133_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR4,2133,7,30000,8302.04,4096
lab007068,IntelCorei56500_DDR42133_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR4,2133,8,30000,8551.56,4096
lab00801,IntelCorei53470_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,1,30000,10279.4,1024
lab00801,IntelCorei53470_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,2,30000,9566,1024
lab00801,IntelCorei53470_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,3,30000,9817.96,1024
lab00801,IntelCorei53470_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,30000,9801.76,1024
lab00801,IntelCorei53470_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,5,30000,8584.4,1024
lab00801,IntelCorei53470_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,6,30000,8324.96,1024
lab00801,IntelCorei53470_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,7,30000,8302.04,1024
lab00801,IntelCorei53470_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,8,30000,8551.56,1024
lab102,IntelCorei53470_DDR31600_4GB,3.4,X86_64,16,64,1,32,16,64,1,256,48,64,4,6144,4,DDR3,1600,1,30000,10279.4,1024
lab102,IntelCorei53470_DDR31600_4GB,3.4,X86_64,16,64,1,32,16,64,1,256,48,64,4,6144,4,DDR3,1600,2,30000,9566,1024
lab102,IntelCorei53470_DDR31600_4GB,3.4,X86_64,16,64,1,32,16,64,1,256,48,64,4,6144,4,DDR3,1600,3,30000,9817.96,1024
lab102,IntelCorei53470_DDR31600_4GB,3.4,X86_64,16,64,1,32,16,64,1,256,48,64,4,6144,4,DDR3,1600,4,30000,9801.76,1024
lab102,IntelCorei53470_DDR31600_4GB,3.4,X86_64,16,64,1,32,16,64,1,256,48,64,4,6144,4,DDR3,1600,5,30000,8584.4,1024
lab102,IntelCorei53470_DDR31600_4GB,3.4,X86_64,16,64,1,32,16,64,1,256,48,64,4,6144,4,DDR3,1600,6,30000,8324.96,1024
lab102,IntelCorei53470_DDR31600_4GB,3.4,X86_64,16,64,1,32,16,64,1,256,48,64,4,6144,4,DDR3,1600,7,30000,8302.04,1024
lab102,IntelCorei53470_DDR31600_4GB,3.4,X86_64,16,64,1,32,16,64,1,256,48,64,4,6144,4,DDR3,1600,8,30000,8551.56,1024
akm_laptop,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,1,30000,10279.4,4096
akm_laptop,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,2,30000,9566,4096
akm_laptop,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,3,30000,9817.96,4096
akm_laptop,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,4,30000,9801.76,4096
akm_laptop,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,5,30000,8584.4,4096
akm_laptop,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,6,30000,8324.96,4096
akm_laptop,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,7,30000,8302.04,4096
akm_laptop,IntelCorei76500U_DDR31600_8GB,3,X86_64,8,64,1,32,8,64,1,256,16,64,4,4096,4,DDR3,1600,8,30000,8551.56,4096
ceptraining_student,IntelCore2Duo_DDR2667_2GB,1.6,X86_64,8,64,1,32,2,64,1,512,0,0,0,0,2,DDR2,667,1,35000,19453.48,2048
ceptraining_student,IntelCore2Duo_DDR2667_2GB,1.6,X86_64,8,64,1,32,2,64,1,512,0,0,0,0,2,DDR2,667,2,35000,12893.76,2048
ceptraining_student,IntelCore2Duo_DDR2667_2GB,1.6,X86_64,8,64,1,32,2,64,1,512,0,0,0,0,2,DDR2,667,3,35000,16431.68,2048
ceptraining_student,IntelCore2Duo_DDR2667_2GB,1.6,X86_64,8,64,1,32,2,64,1,512,0,0,0,0,2,DDR2,667,4,35000,19509.04,2048
ceptraining_student,IntelCore2Duo_DDR2667_2GB,1.6,X86_64,8,64,1,32,2,64,1,512,0,0,0,0,2,DDR2,667,5,35000,10246.36,2048
ceptraining_student,IntelCore2Duo_DDR2667_2GB,1.6,X86_64,8,64,1,32,2,64,1,512,0,0,0,0,2,DDR2,667,6,35000,10192.52,2048
ceptraining_student,IntelCore2Duo_DDR2667_2GB,1.6,X86_64,8,64,1,32,2,64,1,512,0,0,0,0,2,DDR2,667,7,35000,9975.44,2048
ceptraining_student,IntelCore2Duo_DDR2667_2GB,1.6,X86_64,8,64,1,32,2,64,1,512,0,0,0,0,2,DDR2,667,8,35000,9941.28,2048
ceptraining_instructor,IntelCorei54460_DDR31600_4GB,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,1,35000,19453.48,2048
ceptraining_instructor,IntelCorei54460_DDR31600_4GB,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,2,35000,12893.76,2048
ceptraining_instructor,IntelCorei54460_DDR31600_4GB,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,3,35000,16431.68,2048
ceptraining_instructor,IntelCorei54460_DDR31600_4GB,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,4,35000,19509.04,2048
ceptraining_instructor,IntelCorei54460_DDR31600_4GB,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,5,35000,10246.36,2048
ceptraining_instructor,IntelCorei54460_DDR31600_4GB,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,6,35000,10192.52,2048
ceptraining_instructor,IntelCorei54460_DDR31600_4GB,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,7,35000,9975.44,2048
ceptraining_instructor,IntelCorei54460_DDR31600_4GB,3.2,X86_64,8,64,1,32,8,64,1,256,12,64,4,6144,4,DDR3,1600,8,35000,9941.28,2048
akm_laptop,IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,1,35000,19453.48,4096
akm_laptop,IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,2,35000,12893.76,4096
akm_laptop,IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,3,35000,16431.68,4096
akm_laptop,IntelCorei56500_DDR31600_4GB,3.2,X86_64,8,64,1,32,4,64,1,256,12,64,4,6144,4,DDR3,1600,4,35000,19509.04,4096
