algo,mean_absolute_error_train_rmse,mean_squared_error_train_rmse,root_mean_squared_error_train_rmse,median_absolute_error_train_rmse,r2_train_rmse,mean_absolute_error_test_rmse,mean_squared_error_test_rmse,root_mean_squared_error_test_rmse,median_absolute_error_test_rmse,r2_test_rmse,mean_absolute_error_train_medae,mean_squared_error_train_medae,root_mean_squared_error_train_medae,median_absolute_error_train_medae,r2_train_medae,mean_absolute_error_test_medae,mean_squared_error_test_medae,root_mean_squared_error_test_medae,median_absolute_error_test_medae,r2_test_medae,mean_absolute_error_train_medape,mean_squared_error_train_medape,root_mean_squared_error_train_medape,median_absolute_error_train_medape,r2_train_medape,mean_absolute_error_test_medape,mean_squared_error_test_medape,root_mean_squared_error_test_medape,median_absolute_error_test_medape,r2_test_medape
600.perlbench_s,0.4934457041202531,0.29877664565379836,0.49280051837755245,0.49430578979431666,0.29877664565379836,0.6417041967369294,0.43565582685035176,0.6425840761299778,0.641006047684147,0.43565582685035176,0.08843144915592072,0.04471507185213175,0.0889889398409398,0.08919158635955296,0.04471507185213175,0.10426588880693649,0.05961348577714187,0.10343353746585504,0.10964740861380343,0.05961348577714187,2.1249485746230397,1.0599514881029402,2.130046954794868,2.1539436862151455,1.0599514881029402,2.6446530863181055,1.3927766826882917,2.647046114613019,2.6360298096406662,1.3927766826882917
602.gcc_s,0.48839467851063845,0.48791988946225495,0.48791988946225495,0.48839467851063845,0.48791988946225495,0.40491822148555184,0.40642434590258275,0.40642434590258275,0.40491822148555184,0.40642434590258275,0.11947519044517868,0.11917527582988033,0.11917527582988033,0.11947519044517868,0.11917527582988033,0.12414910497531573,0.12492056789264361,0.12492056789264361,0.12414910497531573,0.12492056789264361,2.6399785592533678,2.658380539750014,2.658380539750014,2.6399785592533678,2.658380539750014,2.8084120264402173,2.795748094877535,2.795748094877535,2.8084120264402173,2.795748094877535
605.mcf_s,0.3513146522150818,0.2666386466307386,0.35069627271392734,0.34985678372271206,0.2666386466307386,0.5035584931259421,0.4507426544392861,0.5049915512516079,0.5081676714248001,0.4507426544392861,0.09332340043017623,0.06047582297485665,0.09277768729922647,0.0886138750434945,0.06047582297485665,0.10001342166971768,0.0809027467665074,0.09936143293069935,0.09955698251592983,0.0809027467665074,3.0391394686483544,1.9955604324716343,3.0207786285146367,3.031603502427025,1.9955604324716343,3.271824397948471,2.6587636065204996,3.2349194812144733,3.25350409067282,2.6587636065204996
620.omnetpp_s,0.44138085804434923,0.4441107657356612,0.4441107657356612,0.4441107657356612,0.4441107657356612,0.4538588898248478,0.45150573211223,0.45150573211223,0.45150573211223,0.45150573211223,0.146824491795141,0.14977616605438615,0.14977616605438615,0.14977616605438615,0.14977616605438615,0.14779663633169088,0.15349896594214313,0.15349896594214313,0.15349896594214313,0.15349896594214313,5.071950183054536,5.130767534673156,5.130767534673156,5.130767534673156,5.130767534673156,5.504833690134116,5.620301221176782,5.620301221176782,5.620301221176782,5.620301221176782
623.xalancbmk_s,0.41104141333461414,0.28511795450264177,0.41104141333461414,0.41104141333461414,0.41104141333461414,0.5349968422964754,0.37785883872871906,0.5349968422964754,0.5349968422964754,0.5349968422964754,0.09411523043135694,0.053111073811894505,0.09411523043135694,0.09411523043135694,0.09411523043135694,0.1112430692501532,0.06499212323036385,0.1112430692501532,0.1112430692501532,0.1112430692501532,2.658551605818394,1.4292392737491804,2.658551605818394,2.658551605818394,2.658551605818394,3.2074396045275924,1.7629208416886093,3.2074396045275924,3.2074396045275924,3.2074396045275924
625.x264_s,0.8136173723339588,0.8136173723339588,0.8136173723339588,0.8169226314794215,0.8136173723339588,0.3083084798992582,0.3083084798992582,0.3083084798992582,0.3034295425269214,0.3083084798992582,0.058688430849660356,0.058688430849660356,0.058688430849660356,0.06350935631164983,0.058688430849660356,0.06687263291107426,0.06687263291107426,0.06687263291107426,0.07332700760852712,0.06687263291107426,2.8523440286385138,2.8523440286385138,2.8523440286385138,2.934862241824369,2.8523440286385138,3.4135682700046575,3.4135682700046575,3.4135682700046575,3.4233398463779974,3.4135682700046575
631.deepsjeng_s,0.707505279060675,0.707505279060675,0.707505279060675,0.7080105843340088,0.707505279060675,0.3980937648469241,0.3980937648469241,0.3980937648469241,0.3965470164161434,0.3980937648469241,0.07298605987687817,0.07298605987687817,0.07298605987687817,0.07230857728455131,0.07298605987687817,0.08476109220616398,0.08476109220616398,0.08476109220616398,0.08385365228240296,0.08476109220616398,1.8993895253524646,1.8993895253524646,1.8993895253524646,1.9047274624403376,1.8993895253524646,2.270566350660921,2.270566350660921,2.270566350660921,2.2612083541980654,2.270566350660921
641.leela_s,0.3859755355251636,0.3859755355251636,0.3859755355251636,0.40408396264273216,0.3859755355251636,0.5204037788831257,0.5204037788831257,0.5204037788831257,0.509129929564055,0.5204037788831257,0.0886646408564643,0.0886646408564643,0.0886646408564643,0.09224450879085591,0.0886646408564643,0.1101033779550672,0.1101033779550672,0.1101033779550672,0.10532408735384001,0.1101033779550672,1.9576142544844466,1.9576142544844466,1.9576142544844466,2.055290026346061,1.9576142544844466,2.3495335856514474,2.3495335856514474,2.3495335856514474,2.3286274137535523,2.3495335856514474
648.exchange2_s,0.3678298224389129,0.3678298224389129,0.3678298224389129,0.44203161572067395,0.3678298224389129,0.46501351777652855,0.46501351777652855,0.46501351777652855,0.4825158617009521,0.46501351777652855,0.0963541891744494,0.0963541891744494,0.0963541891744494,0.10185827957564686,0.0963541891744494,0.11544259495673798,0.11544259495673798,0.11544259495673798,0.10162743563320661,0.11544259495673798,2.878132352318588,2.878132352318588,2.878132352318588,3.1143313209302104,2.878132352318588,3.4043520563425154,3.4043520563425154,3.4043520563425154,2.9242824896301602,3.4043520563425154
657.xz_s,0.5203130801490314,0.5044362356989412,0.5044362356989412,0.5817688010589483,0.5044362356989412,0.7407017165163381,0.7302181281266592,0.7302181281266592,0.7876311342681469,0.7302181281266592,0.06334568975164201,0.06349309574059459,0.06349309574059459,0.0672505932189178,0.06349309574059459,0.07165611138706496,0.07457808749480588,0.07457808749480588,0.06701427232921109,0.07457808749480588,2.8581233551132947,2.937860428135157,2.937860428135157,3.049763865156008,2.937860428135157,3.1752727190212426,3.380827735088885,3.380827735088885,2.9898804202696345,3.380827735088885
401.bzip2,0.26576631628081504,0.26576631628081504,0.26576631628081504,0.26576631628081504,0.26576631628081504,0.3071323294610572,0.3071323294610572,0.3071323294610572,0.3071323294610572,0.3071323294610572,0.1108142189210739,0.1108142189210739,0.1108142189210739,0.1108142189210739,0.1108142189210739,0.11751241956488312,0.11751241956488312,0.11751241956488312,0.11751241956488312,0.11751241956488312,4.069703594791043,4.069703594791043,4.069703594791043,4.069703594791043,4.069703594791043,4.111951736090456,4.111951736090456,4.111951736090456,4.111951736090456,4.111951736090456
456.hmmer,0.34181019958100917,0.34181019958100917,0.34181019958100917,0.34181019958100917,0.34181019958100917,0.3505408836281231,0.3505408836281231,0.3505408836281231,0.3505408836281231,0.3505408836281231,0.08250013622500463,0.08250013622500463,0.08250013622500463,0.08250013622500463,0.08250013622500463,0.07921465458979748,0.07921465458979748,0.07921465458979748,0.07921465458979748,0.07921465458979748,7.565399755720824,7.565399755720824,7.565399755720824,7.565399755720824,7.565399755720824,7.701330297904413,7.701330297904413,7.701330297904413,7.701330297904413,7.701330297904413
458.sjeng,0.24669403856138747,0.24669403856138747,0.24669403856138747,0.24669403856138747,0.24669403856138747,0.3447934912136243,0.3447934912136243,0.3447934912136243,0.3447934912136243,0.3447934912136243,0.099826929886345,0.099826929886345,0.099826929886345,0.099826929886345,0.099826929886345,0.09964781916206966,0.09964781916206966,0.09964781916206966,0.09964781916206966,0.09964781916206966,3.6188547386708314,3.6188547386708314,3.6188547386708314,3.6188547386708314,3.6188547386708314,3.6905943313389318,3.6905943313389318,3.6905943313389318,3.6905943313389318,3.6905943313389318
462.libquantum,0.6104357780054849,0.6104357780054849,0.6104357780054849,0.6104357780054849,0.6104357780054849,0.5957181259413068,0.5957181259413068,0.5957181259413068,0.5957181259413068,0.5957181259413068,0.06730148252065443,0.06730148252065443,0.06730148252065443,0.06730148252065443,0.06730148252065443,0.0671925756333398,0.0671925756333398,0.0671925756333398,0.0671925756333398,0.0671925756333398,53.00870324090163,53.00870324090163,53.00870324090163,53.00870324090163,53.00870324090163,55.20010243757976,55.20010243757976,55.20010243757976,55.20010243757976,55.20010243757976
473.astar,0.23854868228588774,0.23854868228588774,0.23854868228588774,0.23854868228588774,0.23854868228588774,0.2759677510745927,0.2759677510745927,0.2759677510745927,0.2759677510745927,0.2759677510745927,0.10174038231041493,0.10174038231041493,0.10174038231041493,0.10174038231041493,0.10174038231041493,0.10839248733155826,0.10839248733155826,0.10839248733155826,0.10839248733155826,0.10839248733155826,5.261500209915654,5.261500209915654,5.261500209915654,5.261500209915654,5.261500209915654,5.497064817299542,5.497064817299542,5.497064817299542,5.497064817299542,5.497064817299542
