algo,nnmodel_train_rmse,autokerasmodel_train_rmse,autopytorchmodel_train_rmse,automljarmodel_train_rmse,nnmodel_test_rmse,autokerasmodel_test_rmse,autopytorchmodel_test_rmse,automljarmodel_test_rmse,nnmodel_train_medae,autokerasmodel_train_medae,autopytorchmodel_train_medae,automljarmodel_train_medae,nnmodel_test_medae,autokerasmodel_test_medae,autopytorchmodel_test_medae,automljarmodel_test_medae,nnmodel_train_medape,autokerasmodel_train_medape,autopytorchmodel_train_medape,automljarmodel_train_medape,nnmodel_test_medape,autokerasmodel_test_medape,autopytorchmodel_test_medape,automljarmodel_test_medape
600.perlbench_s,0.2624193703440121,0.5721769967494413,0.4934457041202531,0.284594651487632,0.45682129663662985,0.7126935976184842,0.6417041967369294,0.36783604001675574,0.05273720752133995,0.22126254169917647,0.08843144915592072,0.05378164985814626,0.06918855751300201,0.2577665088736347,0.10426588880693649,0.065103585640648,1.2371673605060582,5.183524704557435,2.1249485746230397,1.287492184385766,1.654337955962268,6.13596963504828,2.6446530863181055,1.520743722548517
602.gcc_s,0.3441688203161275,0.5439396031290472,0.48839467851063845,0.37485252981093375,0.38851856379300975,0.5361508499081887,0.40491822148555184,0.2859206052111133,0.06358003853871422,0.1721710487378766,0.11947519044517868,0.09040327173826923,0.08421697366172066,0.17462038960761536,0.12414910497531573,0.10359094117425552,1.469759813355681,3.9359672941770745,2.6399785592533678,2.001837794080453,1.9108942084301495,4.0296642149872675,2.8084120264402173,2.278822977974123
605.mcf_s,0.21892157971826584,0.37735820580197055,0.3513146522150818,0.24401855988029744,0.4606434503374779,0.5363081594566519,0.5035584931259421,0.2936853781862678,0.06465931734357377,0.13745018519919866,0.09332340043017623,0.05847592753852003,0.07841367951994777,0.15794507436357072,0.10001342166971768,0.07760473556450015,2.13994286264858,4.419809450336054,3.0391394686483544,1.8119352767626038,2.6235606261422335,5.117840118285891,3.271824397948471,2.4381714386342264
620.omnetpp_s,0.29165336371972617,0.41211155862588855,0.44138085804434923,0.27194390634290105,0.4189389983860323,0.5841531094664216,0.4538588898248478,0.32594185363743056,0.09747785308429363,0.21071779642835375,0.146824491795141,0.06965602686980715,0.10910107637361419,0.2378317561696501,0.14779663633169088,0.09248563053529253,3.522750118814862,7.593266248334118,5.071950183054536,2.5654024792640406,3.6871964858712207,8.501811942361513,5.504833690134116,3.4363296955330935
623.xalancbmk_s,0.22193934871375867,0.41398505512080264,0.41104141333461414,0.34306360210650094,0.45663694653217346,0.5359468563971674,0.5349968422964754,0.40842919197960675,0.059490890446778466,0.16432338771884702,0.09411523043135694,0.14601845614216852,0.08420438902440702,0.1898858476669314,0.1112430692501532,0.14762439049524084,1.5906519586721612,4.483305982002076,2.658551605818394,4.177972320052324,2.30629552481408,5.4670920334852955,3.2074396045275924,4.443794518915098
625.x264_s,0.5687138180855325,0.6512478750756938,0.8136173723339588,0.7757732876919425,0.9662024473905727,0.7248111373021795,0.3083084798992582,0.26083144019660154,0.05483004580547046,0.11547340279304413,0.058688430849660356,0.1034334721461676,0.062164984055865194,0.12345920556171988,0.06687263291107426,0.10136480886628729,2.626319059015367,5.429545745363406,2.8523440286385138,4.9244158611472875,3.0848333843973275,6.106158385408655,3.4135682700046575,5.178252457539426
631.deepsjeng_s,0.473435051879931,0.6320202382948302,0.707505279060675,0.6470291502814698,0.9549949152248148,0.5756480286190826,0.3980937648469241,0.3296682493875266,0.043370804506178195,0.15559109305803265,0.07298605987687817,0.12893031944995004,0.06116045541278903,0.16725730818130297,0.08476109220616398,0.13188402274686517,1.066601584394795,4.0291516294691725,1.8993895253524646,3.421350294225441,1.4956473665296137,4.4898976844494625,2.270566350660921,3.475095841901804
641.leela_s,0.20296974851823446,0.5013899154034774,0.3859755355251636,0.2000866702266553,0.3487619616820435,0.5026596359654528,0.5204037788831257,0.2802347811114816,0.05253216846429626,0.17872464668604096,0.0886646408564643,0.05208702336113158,0.06823143089407774,0.18930241669448908,0.1101033779550672,0.06684367175160945,1.100171725133547,3.8757128239513023,1.9576142544844466,1.06304499056388,1.359144652937169,4.178953122018951,2.3495335856514474,1.4118375138524366
648.exchange2_s,0.2182566898439701,0.4058482753428144,0.3678298224389129,0.26533496210729957,0.35177851539747257,0.4714646054396585,0.46501351777652855,0.32130935878254724,0.06529254553953048,0.17006076443958273,0.0963541891744494,0.11179048879420161,0.07097203362672663,0.1787539630183303,0.11544259495673798,0.1166594096677431,1.8610309151577278,4.774504334995265,2.878132352318588,3.217793333747449,2.080821723417225,5.43349685138168,3.4043520563425154,3.2721012485446597
657.xz_s,0.1775476860272168,0.35803850586717845,0.5203130801490314,0.13752736859129955,0.31989530330901095,0.42487661457285275,0.7407017165163381,0.2167531751366435,0.0427789237638217,0.1541822472801606,0.06334568975164201,0.034459114982202055,0.04536299595993977,0.16901957938465734,0.07165611138706496,0.03876788424472921,1.8950889774898325,6.93673707918081,2.8581233551132947,1.4580852460404026,1.9490454815227896,7.642431108410057,3.1752727190212426,1.6451252927307471
401.bzip2,0.11055915860034515,0.41410658332653133,0.26576631628081504,0.1278409740207242,0.18017070646934033,26309.90848949068,0.3071323294610572,0.2584535992412982,0.03652968357481856,0.17587177156581807,0.1108142189210739,0.04507839598174562,0.04333992099138251,0.23337237571687588,0.11751241956488312,0.05249761440581935,1.180944761934018,6.2313233704345246,4.069703594791043,1.4828036678034295,1.4595586829209461,7.829526175356974,4.111951736090456,1.7379476245291143
456.hmmer,0.1677843896812869,0.32073107699048703,0.34181019958100917,0.1801892808522987,0.24511424197070797,13023.239144567562,0.3505408836281231,0.2784726963570318,0.02109892782840439,0.10810794444307958,0.08250013622500463,0.03408444844512892,0.025447286582497952,0.12985192597154627,0.07921465458979748,0.03262391074830995,2.0345329735475444,10.702221988386103,7.565399755720824,3.4477660329526962,2.3479617007108686,12.400008846180329,7.701330297904413,3.5909363932614102
458.sjeng,0.11513379568056685,0.6057580411731672,0.24669403856138747,0.12207881373844502,0.28467050376119424,22867.019778038215,0.3447934912136243,0.3095315927546033,0.04294331191663925,0.34184957251468084,0.099826929886345,0.05046634590542254,0.05743089976183169,0.3184773916289458,0.09964781916206966,0.0528548911548925,1.487920154191944,12.9247741587688,3.6188547386708314,1.7897836108315892,1.8811113267718134,12.477775324525197,3.6905943313389318,1.898318840505224
462.libquantum,0.09728626637741335,0.3538081167984958,0.6104357780054849,0.1251341077277705,0.24602352706904104,98941.2902298137,0.5957181259413068,0.1906276364527402,0.011479855973855813,0.06577081914656957,0.06730148252065443,0.006041579940584657,0.01252781150437593,0.06607667961318142,0.0671925756333398,0.007401453747518216,12.354157417588231,60.093369938720286,53.00870324090163,8.228240017203763,13.059941777807557,64.29029553023702,55.20010243757976,9.698732716714517
473.astar,0.11793511954234916,0.9692524052348708,0.23854868228588774,0.1116710970512451,0.1937046833063726,0.9285372868220937,0.2759677510745927,0.23624781424614832,0.03751185208611431,0.6377167991505368,0.10174038231041493,0.028999484352958405,0.048847507141769775,0.6567212943401249,0.10839248733155826,0.037811616016920485,1.8442229476425123,31.300197456067124,5.261500209915654,1.3806464160147218,2.30138228506287,29.75952082832125,5.497064817299542,1.651915670490848
